INDEX_NAME,INDEX_REGION,LAT,LONG,STATIONID,SAMPLEID,COLLDATE,COLLMETH,TAXAID,N_TAXA,EXCLUDE,NONTARGET,PHYLUM,CLASS,ORDER,FAMILY,SUBFAMILY,TRIBE,GENUS,TOLVAL,FFG,LIFE_CYCLE
MassDEP_2020_Bugs,LowGradientIBI,42.56945269,-71.21526802,B0675,2010002,7/7/2010,RBP multihab,Tvetenia tshernovskii,3,FALSE,FALSE,Arthropoda,Insecta,Diptera,Chironomidae,Orthocladiinae,,Tvetenia,5,CG,multi
MassDEP_2020_Bugs,LowGradientIBI,42.51707907,-71.24471208,B0685,2010003,7/7/2010,RBP multihab,Ancyronyx variegatus,1,FALSE,FALSE,Arthropoda,Insecta,Coleoptera,Elmidae,,,Ancyronyx,5,CG,uni
MassDEP_2020_Bugs,LowGradientIBI,42.51707907,-71.24471208,B0685,2010003,7/7/2010,RBP multihab,Brachycentrus,3,FALSE,FALSE,Arthropoda,Insecta,Trichoptera,Brachycentridae,,,Brachycentrus,5,CF,uni
MassDEP_2020_Bugs,LowGradientIBI,42.51707907,-71.24471208,B0685,2010003,7/7/2010,RBP multihab,Caecidotea,7,FALSE,FALSE,Arthropoda,Malacostraca,Isopoda,Asellidae,,,Caecidotea,8,CG,
MassDEP_2020_Bugs,LowGradientIBI,42.51707907,-71.24471208,B0685,2010003,7/7/2010,RBP multihab,Cheumatopsyche,2,FALSE,FALSE,Arthropoda,Insecta,Trichoptera,Hydropsychidae,,,Cheumatopsyche,5,CF,multi
MassDEP_2020_Bugs,LowGradientIBI,42.51707907,-71.24471208,B0685,2010003,7/7/2010,RBP multihab,Clinotanypus,1,FALSE,FALSE,Arthropoda,Insecta,Diptera,Chironomidae,Tanypodinae,Coelotanypodini,Clinotanypus,5,PR,
MassDEP_2020_Bugs,LowGradientIBI,42.51707907,-71.24471208,B0685,2010003,7/7/2010,RBP multihab,Coenagrionidae,3,FALSE,FALSE,Arthropoda,Insecta,Odonata,Coenagrionidae,,,,5,PR,
MassDEP_2020_Bugs,LowGradientIBI,42.51707907,-71.24471208,B0685,2010003,7/7/2010,RBP multihab,Crangonyx,17,FALSE,FALSE,Arthropoda,Malacostraca,Amphipoda,Crangonyctidae,,,Crangonyx,8,CG,uni
MassDEP_2020_Bugs,LowGradientIBI,42.51707907,-71.24471208,B0685,2010003,7/7/2010,RBP multihab,Dubiraphia,3,FALSE,FALSE,Arthropoda,Insecta,Coleoptera,Elmidae,,,Dubiraphia,5,CG,uni
MassDEP_2020_Bugs,LowGradientIBI,42.51707907,-71.24471208,B0685,2010003,7/7/2010,RBP multihab,Gammarus,31,FALSE,FALSE,Arthropoda,Malacostraca,Amphipoda,Gammaridae,,,Gammarus,8,CG,uni
